Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,1999M09,Butter,000 Tonnes,13
Production of Dairy Products,1999M10,Butter,000 Tonnes,10.3
Production of Dairy Products,1999M11,Butter,000 Tonnes,7.1
Production of Dairy Products,1999M12,Butter,000 Tonnes,3.8
Production of Dairy Products,2000M01,Butter,000 Tonnes,3.4
Production of Dairy Products,2000M02,Butter,000 Tonnes,5.2
Production of Dairy Products,2000M03,Butter,000 Tonnes,10.3
Production of Dairy Products,2000M04,Butter,000 Tonnes,15.1
Production of Dairy Products,2000M05,Butter,000 Tonnes,19.2
Production of Dairy Products,2000M06,Butter,000 Tonnes,18.3
Production of Dairy Products,2000M07,Butter,000 Tonnes,16.7
Production of Dairy Products,2000M08,Butter,000 Tonnes,15.5
Production of Dairy Products,2000M09,Butter,000 Tonnes,12.9
Production of Dairy Products,2000M10,Butter,000 Tonnes,11.1
Production of Dairy Products,2000M11,Butter,000 Tonnes,4.7
Production of Dairy Products,2000M12,Butter,000 Tonnes,3.1
Production of Dairy Products,2001M01,Butter,000 Tonnes,2.9
Production of Dairy Products,2001M02,Butter,000 Tonnes,4
Production of Dairy Products,2001M03,Butter,000 Tonnes,8.1
Production of Dairy Products,2001M04,Butter,000 Tonnes,12.6
Production of Dairy Products,2001M05,Butter,000 Tonnes,17.3
Production of Dairy Products,2001M06,Butter,000 Tonnes,16.5
Production of Dairy Products,2001M07,Butter,000 Tonnes,17.3
Production of Dairy Products,2001M08,Butter,000 Tonnes,16.6
Production of Dairy Products,2001M09,Butter,000 Tonnes,12.1
Production of Dairy Products,2001M10,Butter,000 Tonnes,11.9
Production of Dairy Products,2001M11,Butter,000 Tonnes,7.1
Production of Dairy Products,2001M12,Butter,000 Tonnes,3
Production of Dairy Products,2002M01,Butter,000 Tonnes,2.3
Production of Dairy Products,2002M02,Butter,000 Tonnes,3.8
Production of Dairy Products,2002M03,Butter,000 Tonnes,9.8
Production of Dairy Products,2002M04,Butter,000 Tonnes,16.6
Production of Dairy Products,2002M05,Butter,000 Tonnes,20.1
Production of Dairy Products,2002M06,Butter,000 Tonnes,18.2
Production of Dairy Products,2002M07,Butter,000 Tonnes,17.1
Production of Dairy Products,2002M08,Butter,000 Tonnes,14.6
Production of Dairy Products,2002M09,Butter,000 Tonnes,12.2
Production of Dairy Products,2002M10,Butter,000 Tonnes,11.5
Production of Dairy Products,2002M11,Butter,000 Tonnes,5.9
Production of Dairy Products,2002M12,Butter,000 Tonnes,3.3
Production of Dairy Products,2003M01,Butter,000 Tonnes,2.7
Production of Dairy Products,2003M02,Butter,000 Tonnes,4.5
Production of Dairy Products,2003M03,Butter,000 Tonnes,11.1
Production of Dairy Products,2003M04,Butter,000 Tonnes,15
Production of Dairy Products,2003M05,Butter,000 Tonnes,19.5
Production of Dairy Products,2003M06,Butter,000 Tonnes,18
Production of Dairy Products,2003M07,Butter,000 Tonnes,17.4
Production of Dairy Products,2003M08,Butter,000 Tonnes,14.8
Production of Dairy Products,2003M09,Butter,000 Tonnes,13.1
Production of Dairy Products,2003M10,Butter,000 Tonnes,12.5
Production of Dairy Products,2003M11,Butter,000 Tonnes,7
Production of Dairy Products,2003M12,Butter,000 Tonnes,4.5
Production of Dairy Products,2004M01,Butter,000 Tonnes,2.9
Production of Dairy Products,2004M02,Butter,000 Tonnes,4.1
Production of Dairy Products,2004M03,Butter,000 Tonnes,8
Production of Dairy Products,2004M04,Butter,000 Tonnes,14.8
Production of Dairy Products,2004M05,Butter,000 Tonnes,18.2
Production of Dairy Products,2004M06,Butter,000 Tonnes,17.7
Production of Dairy Products,2004M07,Butter,000 Tonnes,18.7
Production of Dairy Products,2004M08,Butter,000 Tonnes,15.8
Production of Dairy Products,2004M09,Butter,000 Tonnes,14.3
Production of Dairy Products,2004M10,Butter,000 Tonnes,11.9
Production of Dairy Products,2004M11,Butter,000 Tonnes,6.9
Production of Dairy Products,2004M12,Butter,000 Tonnes,3.5
Production of Dairy Products,2005M01,Butter,000 Tonnes,3.4
Production of Dairy Products,2005M02,Butter,000 Tonnes,5.6
Production of Dairy Products,2005M03,Butter,000 Tonnes,12.8
Production of Dairy Products,2005M04,Butter,000 Tonnes,15.8
Production of Dairy Products,2005M05,Butter,000 Tonnes,19
Production of Dairy Products,2005M06,Butter,000 Tonnes,17.6
Production of Dairy Products,2005M07,Butter,000 Tonnes,16
Production of Dairy Products,2005M08,Butter,000 Tonnes,16.5
Production of Dairy Products,2005M09,Butter,000 Tonnes,13.9
Production of Dairy Products,2005M10,Butter,000 Tonnes,11.4
Production of Dairy Products,2005M11,Butter,000 Tonnes,6.7
Production of Dairy Products,2005M12,Butter,000 Tonnes,4.3
Production of Dairy Products,2006M01,Butter,000 Tonnes,3.9
Production of Dairy Products,2006M02,Butter,000 Tonnes,5.2
Production of Dairy Products,2006M03,Butter,000 Tonnes,11
Production of Dairy Products,2006M04,Butter,000 Tonnes,14.9
Production of Dairy Products,2006M05,Butter,000 Tonnes,19.8
Production of Dairy Products,2006M06,Butter,000 Tonnes,17.2
Production of Dairy Products,2006M07,Butter,000 Tonnes,15.8
Production of Dairy Products,2006M08,Butter,000 Tonnes,14.7
Production of Dairy Products,2006M09,Butter,000 Tonnes,13.8
Production of Dairy Products,2006M10,Butter,000 Tonnes,10.5
Production of Dairy Products,2006M11,Butter,000 Tonnes,7.3
Production of Dairy Products,2006M12,Butter,000 Tonnes,5
Production of Dairy Products,2007M01,Butter,000 Tonnes,3.8
Production of Dairy Products,2007M02,Butter,000 Tonnes,5
Production of Dairy Products,2007M03,Butter,000 Tonnes,10.1
Production of Dairy Products,2007M04,Butter,000 Tonnes,14.8
Production of Dairy Products,2007M05,Butter,000 Tonnes,19.1
Production of Dairy Products,2007M06,Butter,000 Tonnes,21.1
Production of Dairy Products,2007M07,Butter,000 Tonnes,16.8
Production of Dairy Products,2007M08,Butter,000 Tonnes,15.3
Production of Dairy Products,2007M09,Butter,000 Tonnes,12.1
Production of Dairy Products,2007M10,Butter,000 Tonnes,10.3
