Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1996M04,Muriate of Potash (50% K),Euro per Tonne,215
Fertiliser Price,1996M05,Muriate of Potash (50% K),Euro per Tonne,214
Fertiliser Price,1996M06,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1996M07,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1996M08,Muriate of Potash (50% K),Euro per Tonne,213
Fertiliser Price,1996M09,Muriate of Potash (50% K),Euro per Tonne,214
Fertiliser Price,1996M10,Muriate of Potash (50% K),Euro per Tonne,214
Fertiliser Price,1996M11,Muriate of Potash (50% K),Euro per Tonne,214
Fertiliser Price,1996M12,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1997M01,Muriate of Potash (50% K),Euro per Tonne,213
Fertiliser Price,1997M02,Muriate of Potash (50% K),Euro per Tonne,212
Fertiliser Price,1997M03,Muriate of Potash (50% K),Euro per Tonne,211
Fertiliser Price,1997M04,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1997M05,Muriate of Potash (50% K),Euro per Tonne,212
Fertiliser Price,1997M06,Muriate of Potash (50% K),Euro per Tonne,211
Fertiliser Price,1997M07,Muriate of Potash (50% K),Euro per Tonne,211
Fertiliser Price,1997M08,Muriate of Potash (50% K),Euro per Tonne,211
Fertiliser Price,1997M09,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1997M10,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1997M11,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1997M12,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1998M01,Muriate of Potash (50% K),Euro per Tonne,211
Fertiliser Price,1998M02,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1998M03,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1998M04,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1998M05,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1998M06,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1998M07,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1998M08,Muriate of Potash (50% K),Euro per Tonne,209
Fertiliser Price,1998M09,Muriate of Potash (50% K),Euro per Tonne,209
Fertiliser Price,1998M10,Muriate of Potash (50% K),Euro per Tonne,209
Fertiliser Price,1998M11,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1998M12,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1999M01,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1999M02,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1999M03,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1999M04,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1999M05,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1999M06,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1999M07,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1999M08,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1999M09,Muriate of Potash (50% K),Euro per Tonne,210
Fertiliser Price,1999M10,Muriate of Potash (50% K),Euro per Tonne,209
Fertiliser Price,1999M11,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,1999M12,Muriate of Potash (50% K),Euro per Tonne,208
Fertiliser Price,2000M01,Muriate of Potash (50% K),Euro per Tonne,215
Fertiliser Price,2000M02,Muriate of Potash (50% K),Euro per Tonne,216
Fertiliser Price,2000M03,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2000M04,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2000M05,Muriate of Potash (50% K),Euro per Tonne,217
Fertiliser Price,2000M06,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2000M07,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2000M08,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2000M09,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2000M10,Muriate of Potash (50% K),Euro per Tonne,220
Fertiliser Price,2000M11,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2000M12,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2001M01,Muriate of Potash (50% K),Euro per Tonne,223
Fertiliser Price,2001M02,Muriate of Potash (50% K),Euro per Tonne,228
Fertiliser Price,2001M03,Muriate of Potash (50% K),Euro per Tonne,225
Fertiliser Price,2001M04,Muriate of Potash (50% K),Euro per Tonne,227
Fertiliser Price,2001M05,Muriate of Potash (50% K),Euro per Tonne,225
Fertiliser Price,2001M06,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2001M07,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2001M08,Muriate of Potash (50% K),Euro per Tonne,223
Fertiliser Price,2001M09,Muriate of Potash (50% K),Euro per Tonne,223
Fertiliser Price,2001M10,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2001M11,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2001M12,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2002M01,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2002M02,Muriate of Potash (50% K),Euro per Tonne,223
Fertiliser Price,2002M03,Muriate of Potash (50% K),Euro per Tonne,223
Fertiliser Price,2002M04,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2002M05,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2002M06,Muriate of Potash (50% K),Euro per Tonne,222
Fertiliser Price,2002M07,Muriate of Potash (50% K),Euro per Tonne,221
Fertiliser Price,2002M08,Muriate of Potash (50% K),Euro per Tonne,221
Fertiliser Price,2002M09,Muriate of Potash (50% K),Euro per Tonne,221
Fertiliser Price,2002M10,Muriate of Potash (50% K),Euro per Tonne,219
Fertiliser Price,2002M11,Muriate of Potash (50% K),Euro per Tonne,221
Fertiliser Price,2002M12,Muriate of Potash (50% K),Euro per Tonne,218
Fertiliser Price,2003M01,Muriate of Potash (50% K),Euro per Tonne,226
Fertiliser Price,2003M02,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2003M03,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2003M04,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2003M05,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2003M06,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2003M07,Muriate of Potash (50% K),Euro per Tonne,233
Fertiliser Price,2003M08,Muriate of Potash (50% K),Euro per Tonne,233
Fertiliser Price,2003M09,Muriate of Potash (50% K),Euro per Tonne,233
Fertiliser Price,2003M10,Muriate of Potash (50% K),Euro per Tonne,233
Fertiliser Price,2003M11,Muriate of Potash (50% K),Euro per Tonne,229
Fertiliser Price,2003M12,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2004M01,Muriate of Potash (50% K),Euro per Tonne,235
Fertiliser Price,2004M02,Muriate of Potash (50% K),Euro per Tonne,232
Fertiliser Price,2004M03,Muriate of Potash (50% K),Euro per Tonne,232
Fertiliser Price,2004M04,Muriate of Potash (50% K),Euro per Tonne,231
Fertiliser Price,2004M05,Muriate of Potash (50% K),Euro per Tonne,228
Fertiliser Price,2004M06,Muriate of Potash (50% K),Euro per Tonne,228
Fertiliser Price,2004M07,Muriate of Potash (50% K),Euro per Tonne,230
Fertiliser Price,2004M08,Muriate of Potash (50% K),Euro per Tonne,230
Fertiliser Price,2004M09,Muriate of Potash (50% K),Euro per Tonne,232
Fertiliser Price,2004M10,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2004M11,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2004M12,Muriate of Potash (50% K),Euro per Tonne,234
Fertiliser Price,2005M01,Muriate of Potash (50% K),Euro per Tonne,233
Fertiliser Price,2005M02,Muriate of Potash (50% K),Euro per Tonne,229
Fertiliser Price,2005M03,Muriate of Potash (50% K),Euro per Tonne,230
Fertiliser Price,2005M04,Muriate of Potash (50% K),Euro per Tonne,227
Fertiliser Price,2005M05,Muriate of Potash (50% K),Euro per Tonne,229
Fertiliser Price,2005M06,Muriate of Potash (50% K),Euro per Tonne,229
Fertiliser Price,2005M07,Muriate of Potash (50% K),Euro per Tonne,229
Fertiliser Price,2005M08,Muriate of Potash (50% K),Euro per Tonne,230
Fertiliser Price,2005M09,Muriate of Potash (50% K),Euro per Tonne,230
Fertiliser Price,2005M10,Muriate of Potash (50% K),Euro per Tonne,231
Fertiliser Price,2005M11,Muriate of Potash (50% K),Euro per Tonne,231
Fertiliser Price,2005M12,Muriate of Potash (50% K),Euro per Tonne,233
Fertiliser Price,2006M01,Muriate of Potash (50% K),Euro per Tonne,241
Fertiliser Price,2006M02,Muriate of Potash (50% K),Euro per Tonne,248
Fertiliser Price,2006M03,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2006M04,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2006M05,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2006M06,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2006M07,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2006M08,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2006M09,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2006M10,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2006M11,Muriate of Potash (50% K),Euro per Tonne,252
Fertiliser Price,2006M12,Muriate of Potash (50% K),Euro per Tonne,251
Fertiliser Price,2007M01,Muriate of Potash (50% K),Euro per Tonne,252
Fertiliser Price,2007M02,Muriate of Potash (50% K),Euro per Tonne,255
Fertiliser Price,2007M03,Muriate of Potash (50% K),Euro per Tonne,257
Fertiliser Price,2007M04,Muriate of Potash (50% K),Euro per Tonne,257
Fertiliser Price,2007M05,Muriate of Potash (50% K),Euro per Tonne,258
Fertiliser Price,2007M06,Muriate of Potash (50% K),Euro per Tonne,258
Fertiliser Price,2007M07,Muriate of Potash (50% K),Euro per Tonne,259
Fertiliser Price,2007M08,Muriate of Potash (50% K),Euro per Tonne,259
Fertiliser Price,2007M09,Muriate of Potash (50% K),Euro per Tonne,259
Fertiliser Price,2007M10,Muriate of Potash (50% K),Euro per Tonne,259
Fertiliser Price,2007M11,Muriate of Potash (50% K),Euro per Tonne,269
Fertiliser Price,2007M12,Muriate of Potash (50% K),Euro per Tonne,310
Fertiliser Price,2008M01,Muriate of Potash (50% K),Euro per Tonne,371
Fertiliser Price,2008M02,Muriate of Potash (50% K),Euro per Tonne,412
Fertiliser Price,2008M03,Muriate of Potash (50% K),Euro per Tonne,430
Fertiliser Price,2008M04,Muriate of Potash (50% K),Euro per Tonne,491
Fertiliser Price,2008M05,Muriate of Potash (50% K),Euro per Tonne,496
Fertiliser Price,2008M06,Muriate of Potash (50% K),Euro per Tonne,507
Fertiliser Price,2008M07,Muriate of Potash (50% K),Euro per Tonne,528
Fertiliser Price,2008M08,Muriate of Potash (50% K),Euro per Tonne,567
Fertiliser Price,2008M09,Muriate of Potash (50% K),Euro per Tonne,589
Fertiliser Price,2008M10,Muriate of Potash (50% K),Euro per Tonne,589
Fertiliser Price,2008M11,Muriate of Potash (50% K),Euro per Tonne,589
Fertiliser Price,2008M12,Muriate of Potash (50% K),Euro per Tonne,589
Fertiliser Price,2009M01,Muriate of Potash (50% K),Euro per Tonne,611
Fertiliser Price,2009M02,Muriate of Potash (50% K),Euro per Tonne,654
Fertiliser Price,2009M03,Muriate of Potash (50% K),Euro per Tonne,634
Fertiliser Price,2009M04,Muriate of Potash (50% K),Euro per Tonne,614
Fertiliser Price,2009M05,Muriate of Potash (50% K),Euro per Tonne,670
Fertiliser Price,2009M06,Muriate of Potash (50% K),Euro per Tonne,665
Fertiliser Price,2009M07,Muriate of Potash (50% K),Euro per Tonne,664
Fertiliser Price,2009M08,Muriate of Potash (50% K),Euro per Tonne,664
Fertiliser Price,2009M09,Muriate of Potash (50% K),Euro per Tonne,664
Fertiliser Price,2009M10,Muriate of Potash (50% K),Euro per Tonne,664
Fertiliser Price,2009M11,Muriate of Potash (50% K),Euro per Tonne,664
Fertiliser Price,2009M12,Muriate of Potash (50% K),Euro per Tonne,630
Fertiliser Price,2010M01,Muriate of Potash (50% K),Euro per Tonne,597
Fertiliser Price,2010M02,Muriate of Potash (50% K),Euro per Tonne,473
Fertiliser Price,2010M03,Muriate of Potash (50% K),Euro per Tonne,432
Fertiliser Price,2010M04,Muriate of Potash (50% K),Euro per Tonne,435
Fertiliser Price,2010M05,Muriate of Potash (50% K),Euro per Tonne,436
Fertiliser Price,2010M06,Muriate of Potash (50% K),Euro per Tonne,435
