Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,2001M09,Urea (46% N),Euro per Tonne,236
Fertiliser Price,2001M10,Urea (46% N),Euro per Tonne,238
Fertiliser Price,2001M11,Urea (46% N),Euro per Tonne,238
Fertiliser Price,2001M12,Urea (46% N),Euro per Tonne,238
Fertiliser Price,2002M01,Urea (46% N),Euro per Tonne,239
Fertiliser Price,2002M02,Urea (46% N),Euro per Tonne,237
Fertiliser Price,2002M03,Urea (46% N),Euro per Tonne,234
Fertiliser Price,2002M04,Urea (46% N),Euro per Tonne,234
Fertiliser Price,2002M05,Urea (46% N),Euro per Tonne,234
Fertiliser Price,2002M06,Urea (46% N),Euro per Tonne,233
Fertiliser Price,2002M07,Urea (46% N),Euro per Tonne,232
Fertiliser Price,2002M08,Urea (46% N),Euro per Tonne,232
Fertiliser Price,2002M09,Urea (46% N),Euro per Tonne,231
Fertiliser Price,2002M10,Urea (46% N),Euro per Tonne,232
Fertiliser Price,2002M11,Urea (46% N),Euro per Tonne,234
Fertiliser Price,2002M12,Urea (46% N),Euro per Tonne,236
Fertiliser Price,2003M01,Urea (46% N),Euro per Tonne,239
Fertiliser Price,2003M02,Urea (46% N),Euro per Tonne,240
Fertiliser Price,2003M03,Urea (46% N),Euro per Tonne,243
Fertiliser Price,2003M04,Urea (46% N),Euro per Tonne,242
Fertiliser Price,2003M05,Urea (46% N),Euro per Tonne,240
Fertiliser Price,2003M06,Urea (46% N),Euro per Tonne,239
Fertiliser Price,2003M07,Urea (46% N),Euro per Tonne,237
Fertiliser Price,2003M08,Urea (46% N),Euro per Tonne,237
Fertiliser Price,2003M09,Urea (46% N),Euro per Tonne,237
Fertiliser Price,2003M10,Urea (46% N),Euro per Tonne,240
Fertiliser Price,2003M11,Urea (46% N),Euro per Tonne,244
Fertiliser Price,2003M12,Urea (46% N),Euro per Tonne,257
Fertiliser Price,2004M01,Urea (46% N),Euro per Tonne,264
Fertiliser Price,2004M02,Urea (46% N),Euro per Tonne,263
Fertiliser Price,2004M03,Urea (46% N),Euro per Tonne,261
Fertiliser Price,2004M04,Urea (46% N),Euro per Tonne,258
Fertiliser Price,2004M05,Urea (46% N),Euro per Tonne,255
Fertiliser Price,2004M06,Urea (46% N),Euro per Tonne,254
Fertiliser Price,2004M07,Urea (46% N),Euro per Tonne,252
Fertiliser Price,2004M08,Urea (46% N),Euro per Tonne,253
Fertiliser Price,2004M09,Urea (46% N),Euro per Tonne,253
Fertiliser Price,2004M10,Urea (46% N),Euro per Tonne,255
Fertiliser Price,2004M11,Urea (46% N),Euro per Tonne,260
Fertiliser Price,2004M12,Urea (46% N),Euro per Tonne,262
Fertiliser Price,2005M01,Urea (46% N),Euro per Tonne,286
Fertiliser Price,2005M02,Urea (46% N),Euro per Tonne,292
Fertiliser Price,2005M03,Urea (46% N),Euro per Tonne,291
Fertiliser Price,2005M04,Urea (46% N),Euro per Tonne,287
Fertiliser Price,2005M05,Urea (46% N),Euro per Tonne,287
Fertiliser Price,2005M06,Urea (46% N),Euro per Tonne,284
Fertiliser Price,2005M07,Urea (46% N),Euro per Tonne,283
Fertiliser Price,2005M08,Urea (46% N),Euro per Tonne,285
Fertiliser Price,2005M09,Urea (46% N),Euro per Tonne,285
Fertiliser Price,2005M10,Urea (46% N),Euro per Tonne,287
Fertiliser Price,2005M11,Urea (46% N),Euro per Tonne,289
Fertiliser Price,2005M12,Urea (46% N),Euro per Tonne,291
Fertiliser Price,2006M01,Urea (46% N),Euro per Tonne,306
Fertiliser Price,2006M02,Urea (46% N),Euro per Tonne,310
Fertiliser Price,2006M03,Urea (46% N),Euro per Tonne,311
Fertiliser Price,2006M04,Urea (46% N),Euro per Tonne,310
Fertiliser Price,2006M05,Urea (46% N),Euro per Tonne,313
Fertiliser Price,2006M06,Urea (46% N),Euro per Tonne,312
Fertiliser Price,2006M07,Urea (46% N),Euro per Tonne,312
Fertiliser Price,2006M08,Urea (46% N),Euro per Tonne,312
Fertiliser Price,2006M09,Urea (46% N),Euro per Tonne,313
Fertiliser Price,2006M10,Urea (46% N),Euro per Tonne,313
