Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1990M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
Fertiliser Price,1990M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,1990M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1990M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1990M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1990M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1990M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,1990M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1991M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,151
Fertiliser Price,1991M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,152
Fertiliser Price,1991M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,153
Fertiliser Price,1991M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,153
Fertiliser Price,1991M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,152
Fertiliser Price,1991M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,151
Fertiliser Price,1991M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,149
Fertiliser Price,1991M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,149
Fertiliser Price,1991M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,148
Fertiliser Price,1991M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1991M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1991M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,148
Fertiliser Price,1992M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,149
Fertiliser Price,1992M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,149
Fertiliser Price,1992M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,148
Fertiliser Price,1992M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,148
Fertiliser Price,1992M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1992M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
Fertiliser Price,1992M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,1992M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1992M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1992M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,139
Fertiliser Price,1992M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1992M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1993M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1993M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1993M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1993M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1993M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,134
Fertiliser Price,1993M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,129
Fertiliser Price,1993M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,126
Fertiliser Price,1993M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1993M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1993M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1993M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,127
Fertiliser Price,1993M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,130
Fertiliser Price,1994M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1994M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1994M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,139
Fertiliser Price,1994M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,139
Fertiliser Price,1994M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,138
Fertiliser Price,1994M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,135
Fertiliser Price,1994M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,134
Fertiliser Price,1994M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,132
Fertiliser Price,1994M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,131
Fertiliser Price,1994M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,133
Fertiliser Price,1994M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,138
Fertiliser Price,1994M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1995M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,149
Fertiliser Price,1995M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,154
Fertiliser Price,1995M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,153
Fertiliser Price,1995M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,154
Fertiliser Price,1995M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,154
Fertiliser Price,1995M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,154
Fertiliser Price,1995M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,154
Fertiliser Price,1995M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,155
Fertiliser Price,1995M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,156
Fertiliser Price,1995M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,1995M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,159
Fertiliser Price,1995M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,163
Fertiliser Price,1996M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,166
Fertiliser Price,1996M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,166
Fertiliser Price,1996M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,165
Fertiliser Price,1996M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,165
Fertiliser Price,1996M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,164
Fertiliser Price,1996M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,162
Fertiliser Price,1996M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,160
Fertiliser Price,1996M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,159
Fertiliser Price,1996M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,159
Fertiliser Price,1996M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,158
Fertiliser Price,1996M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,158
Fertiliser Price,1996M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,1997M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,1997M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,156
Fertiliser Price,1997M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,153
Fertiliser Price,1997M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,152
Fertiliser Price,1997M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,150
Fertiliser Price,1997M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,148
Fertiliser Price,1997M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1997M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,1997M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1997M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1997M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,1997M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,1998M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1998M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,1998M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1998M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1998M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1998M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1998M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,138
Fertiliser Price,1998M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1998M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1998M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,136
Fertiliser Price,1998M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,138
Fertiliser Price,1998M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,139
Fertiliser Price,1999M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1999M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1999M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1999M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1999M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
Fertiliser Price,1999M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,1999M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,141
Fertiliser Price,1999M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1999M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1999M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1999M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1999M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,142
Fertiliser Price,2000M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,149
Fertiliser Price,2000M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,151
Fertiliser Price,2000M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,152
Fertiliser Price,2000M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,154
Fertiliser Price,2000M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,155
Fertiliser Price,2000M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,2000M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,2000M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,2000M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,2000M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,169
Fertiliser Price,2000M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,176
Fertiliser Price,2000M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,184
Fertiliser Price,2001M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,189
Fertiliser Price,2001M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,195
Fertiliser Price,2001M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,195
Fertiliser Price,2001M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,194
Fertiliser Price,2001M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,193
