Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,2000M11,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2000M12,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2001M01,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2001M02,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,2001M03,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,2001M04,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2001M05,Granular Superphosphate (16% P),Euro per Tonne,276
Fertiliser Price,2001M06,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,2001M07,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2001M08,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,2001M09,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,2001M10,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2001M11,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2001M12,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2002M01,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M02,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2002M03,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M04,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M05,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M06,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M07,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M08,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M09,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M10,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2002M11,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2002M12,Granular Superphosphate (16% P),Euro per Tonne,264
Fertiliser Price,2003M01,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2003M02,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2003M03,Granular Superphosphate (16% P),Euro per Tonne,270
