Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,1998M02,Skimmed Milk Powder,000 Tonnes,2.1
Production of Dairy Products,1998M03,Skimmed Milk Powder,000 Tonnes,4.5
Production of Dairy Products,1998M04,Skimmed Milk Powder,000 Tonnes,9.1
Production of Dairy Products,1998M05,Skimmed Milk Powder,000 Tonnes,15.4
Production of Dairy Products,1998M06,Skimmed Milk Powder,000 Tonnes,13.5
Production of Dairy Products,1998M07,Skimmed Milk Powder,000 Tonnes,13.6
Production of Dairy Products,1998M08,Skimmed Milk Powder,000 Tonnes,12.5
Production of Dairy Products,1998M09,Skimmed Milk Powder,000 Tonnes,8.2
Production of Dairy Products,1998M10,Skimmed Milk Powder,000 Tonnes,4.8
Production of Dairy Products,1998M11,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1998M12,Skimmed Milk Powder,000 Tonnes,3.6
Production of Dairy Products,1999M01,Skimmed Milk Powder,000 Tonnes,2
Production of Dairy Products,1999M02,Skimmed Milk Powder,000 Tonnes,3
Production of Dairy Products,1999M03,Skimmed Milk Powder,000 Tonnes,7
Production of Dairy Products,1999M04,Skimmed Milk Powder,000 Tonnes,10.2
Production of Dairy Products,1999M05,Skimmed Milk Powder,000 Tonnes,12.2
Production of Dairy Products,1999M06,Skimmed Milk Powder,000 Tonnes,11.2
Production of Dairy Products,1999M07,Skimmed Milk Powder,000 Tonnes,11.4
Production of Dairy Products,1999M08,Skimmed Milk Powder,000 Tonnes,11.1
Production of Dairy Products,1999M09,Skimmed Milk Powder,000 Tonnes,6.5
Production of Dairy Products,1999M10,Skimmed Milk Powder,000 Tonnes,3.5
Production of Dairy Products,1999M11,Skimmed Milk Powder,000 Tonnes,3.1
Production of Dairy Products,1999M12,Skimmed Milk Powder,000 Tonnes,3.1
Production of Dairy Products,2000M01,Skimmed Milk Powder,000 Tonnes,4
Production of Dairy Products,2000M02,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,2000M03,Skimmed Milk Powder,000 Tonnes,3.6
Production of Dairy Products,2000M04,Skimmed Milk Powder,000 Tonnes,10.5
Production of Dairy Products,2000M05,Skimmed Milk Powder,000 Tonnes,14.2
Production of Dairy Products,2000M06,Skimmed Milk Powder,000 Tonnes,12.2
Production of Dairy Products,2000M07,Skimmed Milk Powder,000 Tonnes,9.4
Production of Dairy Products,2000M08,Skimmed Milk Powder,000 Tonnes,8.2
Production of Dairy Products,2000M09,Skimmed Milk Powder,000 Tonnes,5.7
Production of Dairy Products,2000M10,Skimmed Milk Powder,000 Tonnes,4.1
Production of Dairy Products,2000M11,Skimmed Milk Powder,000 Tonnes,2.1
Production of Dairy Products,2000M12,Skimmed Milk Powder,000 Tonnes,2.4
Production of Dairy Products,2001M01,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,2001M02,Skimmed Milk Powder,000 Tonnes,2.2
Production of Dairy Products,2001M03,Skimmed Milk Powder,000 Tonnes,5
Production of Dairy Products,2001M04,Skimmed Milk Powder,000 Tonnes,8.3
Production of Dairy Products,2001M05,Skimmed Milk Powder,000 Tonnes,13.5
Production of Dairy Products,2001M06,Skimmed Milk Powder,000 Tonnes,11.3
Production of Dairy Products,2001M07,Skimmed Milk Powder,000 Tonnes,13
Production of Dairy Products,2001M08,Skimmed Milk Powder,000 Tonnes,12.1
Production of Dairy Products,2001M09,Skimmed Milk Powder,000 Tonnes,6.4
Production of Dairy Products,2001M10,Skimmed Milk Powder,000 Tonnes,6.2
Production of Dairy Products,2001M11,Skimmed Milk Powder,000 Tonnes,3.3
Production of Dairy Products,2001M12,Skimmed Milk Powder,000 Tonnes,3.2
Production of Dairy Products,2002M01,Skimmed Milk Powder,000 Tonnes,3.1
Production of Dairy Products,2002M02,Skimmed Milk Powder,000 Tonnes,2.9
Production of Dairy Products,2002M03,Skimmed Milk Powder,000 Tonnes,5.3
Production of Dairy Products,2002M04,Skimmed Milk Powder,000 Tonnes,8.9
Production of Dairy Products,2002M05,Skimmed Milk Powder,000 Tonnes,11.8
Production of Dairy Products,2002M06,Skimmed Milk Powder,000 Tonnes,12.7
Production of Dairy Products,2002M07,Skimmed Milk Powder,000 Tonnes,14.8
