Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,1992M09,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1992M10,Skimmed and Semi-skimmed milk,Million Litres,6.5
Milk Sales (Dairy) for Human Consumption,1992M11,Skimmed and Semi-skimmed milk,Million Litres,6.4
Milk Sales (Dairy) for Human Consumption,1992M12,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1993M01,Skimmed and Semi-skimmed milk,Million Litres,6.4
Milk Sales (Dairy) for Human Consumption,1993M02,Skimmed and Semi-skimmed milk,Million Litres,6.3
Milk Sales (Dairy) for Human Consumption,1993M03,Skimmed and Semi-skimmed milk,Million Litres,7.3
Milk Sales (Dairy) for Human Consumption,1993M04,Skimmed and Semi-skimmed milk,Million Litres,6.7
Milk Sales (Dairy) for Human Consumption,1993M05,Skimmed and Semi-skimmed milk,Million Litres,6.7
Milk Sales (Dairy) for Human Consumption,1993M06,Skimmed and Semi-skimmed milk,Million Litres,7.1
Milk Sales (Dairy) for Human Consumption,1993M07,Skimmed and Semi-skimmed milk,Million Litres,6.6
Milk Sales (Dairy) for Human Consumption,1993M08,Skimmed and Semi-skimmed milk,Million Litres,6.6
Milk Sales (Dairy) for Human Consumption,1993M09,Skimmed and Semi-skimmed milk,Million Litres,7.2
Milk Sales (Dairy) for Human Consumption,1993M10,Skimmed and Semi-skimmed milk,Million Litres,6.8
Milk Sales (Dairy) for Human Consumption,1993M11,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1993M12,Skimmed and Semi-skimmed milk,Million Litres,7.2
Milk Sales (Dairy) for Human Consumption,1994M01,Skimmed and Semi-skimmed milk,Million Litres,6.7
Milk Sales (Dairy) for Human Consumption,1994M02,Skimmed and Semi-skimmed milk,Million Litres,6.6
Milk Sales (Dairy) for Human Consumption,1994M03,Skimmed and Semi-skimmed milk,Million Litres,7.5
Milk Sales (Dairy) for Human Consumption,1994M04,Skimmed and Semi-skimmed milk,Million Litres,6.7
Milk Sales (Dairy) for Human Consumption,1994M05,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1994M06,Skimmed and Semi-skimmed milk,Million Litres,7
Milk Sales (Dairy) for Human Consumption,1994M07,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1994M08,Skimmed and Semi-skimmed milk,Million Litres,6.8
Milk Sales (Dairy) for Human Consumption,1994M09,Skimmed and Semi-skimmed milk,Million Litres,7.4
Milk Sales (Dairy) for Human Consumption,1994M10,Skimmed and Semi-skimmed milk,Million Litres,7.1
Milk Sales (Dairy) for Human Consumption,1994M11,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1994M12,Skimmed and Semi-skimmed milk,Million Litres,7.4
Milk Sales (Dairy) for Human Consumption,1995M01,Skimmed and Semi-skimmed milk,Million Litres,6.7
Milk Sales (Dairy) for Human Consumption,1995M02,Skimmed and Semi-skimmed milk,Million Litres,6.8
Milk Sales (Dairy) for Human Consumption,1995M03,Skimmed and Semi-skimmed milk,Million Litres,7.7
Milk Sales (Dairy) for Human Consumption,1995M04,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1995M05,Skimmed and Semi-skimmed milk,Million Litres,7.2
Milk Sales (Dairy) for Human Consumption,1995M06,Skimmed and Semi-skimmed milk,Million Litres,7.3
Milk Sales (Dairy) for Human Consumption,1995M07,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1995M08,Skimmed and Semi-skimmed milk,Million Litres,7.1
Milk Sales (Dairy) for Human Consumption,1995M09,Skimmed and Semi-skimmed milk,Million Litres,7.6
Milk Sales (Dairy) for Human Consumption,1995M10,Skimmed and Semi-skimmed milk,Million Litres,7.2
Milk Sales (Dairy) for Human Consumption,1995M11,Skimmed and Semi-skimmed milk,Million Litres,7.1
Milk Sales (Dairy) for Human Consumption,1995M12,Skimmed and Semi-skimmed milk,Million Litres,7.5
Milk Sales (Dairy) for Human Consumption,1996M01,Skimmed and Semi-skimmed milk,Million Litres,6.9
Milk Sales (Dairy) for Human Consumption,1996M02,Skimmed and Semi-skimmed milk,Million Litres,7.4
Milk Sales (Dairy) for Human Consumption,1996M03,Skimmed and Semi-skimmed milk,Million Litres,7.9
Milk Sales (Dairy) for Human Consumption,1996M04,Skimmed and Semi-skimmed milk,Million Litres,7.3
Milk Sales (Dairy) for Human Consumption,1996M05,Skimmed and Semi-skimmed milk,Million Litres,7.6
Milk Sales (Dairy) for Human Consumption,1996M06,Skimmed and Semi-skimmed milk,Million Litres,7.5
Milk Sales (Dairy) for Human Consumption,1996M07,Skimmed and Semi-skimmed milk,Million Litres,7.3
Milk Sales (Dairy) for Human Consumption,1996M08,Skimmed and Semi-skimmed milk,Million Litres,7.8
Milk Sales (Dairy) for Human Consumption,1996M09,Skimmed and Semi-skimmed milk,Million Litres,7.9
Milk Sales (Dairy) for Human Consumption,1996M10,Skimmed and Semi-skimmed milk,Million Litres,7.5
Milk Sales (Dairy) for Human Consumption,1996M11,Skimmed and Semi-skimmed milk,Million Litres,7.5
Milk Sales (Dairy) for Human Consumption,1996M12,Skimmed and Semi-skimmed milk,Million Litres,7.8
Milk Sales (Dairy) for Human Consumption,1997M01,Skimmed and Semi-skimmed milk,Million Litres,7.3
Milk Sales (Dairy) for Human Consumption,1997M02,Skimmed and Semi-skimmed milk,Million Litres,7.2
Milk Sales (Dairy) for Human Consumption,1997M03,Skimmed and Semi-skimmed milk,Million Litres,7.8
Milk Sales (Dairy) for Human Consumption,1997M04,Skimmed and Semi-skimmed milk,Million Litres,7.8
Milk Sales (Dairy) for Human Consumption,1997M05,Skimmed and Semi-skimmed milk,Million Litres,8.2
Milk Sales (Dairy) for Human Consumption,1997M06,Skimmed and Semi-skimmed milk,Million Litres,7.7
Milk Sales (Dairy) for Human Consumption,1997M07,Skimmed and Semi-skimmed milk,Million Litres,7.9
Milk Sales (Dairy) for Human Consumption,1997M08,Skimmed and Semi-skimmed milk,Million Litres,7.9
Milk Sales (Dairy) for Human Consumption,1997M09,Skimmed and Semi-skimmed milk,Million Litres,7.8
Milk Sales (Dairy) for Human Consumption,1997M10,Skimmed and Semi-skimmed milk,Million Litres,8.1
Milk Sales (Dairy) for Human Consumption,1997M11,Skimmed and Semi-skimmed milk,Million Litres,7.7
Milk Sales (Dairy) for Human Consumption,1997M12,Skimmed and Semi-skimmed milk,Million Litres,7.5
Milk Sales (Dairy) for Human Consumption,1998M01,Skimmed and Semi-skimmed milk,Million Litres,7.7
Milk Sales (Dairy) for Human Consumption,1998M02,Skimmed and Semi-skimmed milk,Million Litres,7.2
Milk Sales (Dairy) for Human Consumption,1998M03,Skimmed and Semi-skimmed milk,Million Litres,8.3
Milk Sales (Dairy) for Human Consumption,1998M04,Skimmed and Semi-skimmed milk,Million Litres,9
Milk Sales (Dairy) for Human Consumption,1998M05,Skimmed and Semi-skimmed milk,Million Litres,8.4
Milk Sales (Dairy) for Human Consumption,1998M06,Skimmed and Semi-skimmed milk,Million Litres,8
Milk Sales (Dairy) for Human Consumption,1998M07,Skimmed and Semi-skimmed milk,Million Litres,8.6
Milk Sales (Dairy) for Human Consumption,1998M08,Skimmed and Semi-skimmed milk,Million Litres,8.6
Milk Sales (Dairy) for Human Consumption,1998M09,Skimmed and Semi-skimmed milk,Million Litres,8.5
Milk Sales (Dairy) for Human Consumption,1998M10,Skimmed and Semi-skimmed milk,Million Litres,8.7
Milk Sales (Dairy) for Human Consumption,1998M11,Skimmed and Semi-skimmed milk,Million Litres,8.1
Milk Sales (Dairy) for Human Consumption,1998M12,Skimmed and Semi-skimmed milk,Million Litres,8.8
Milk Sales (Dairy) for Human Consumption,1999M01,Skimmed and Semi-skimmed milk,Million Litres,8.5
Milk Sales (Dairy) for Human Consumption,1999M02,Skimmed and Semi-skimmed milk,Million Litres,7.7
Milk Sales (Dairy) for Human Consumption,1999M03,Skimmed and Semi-skimmed milk,Million Litres,8.8
Milk Sales (Dairy) for Human Consumption,1999M04,Skimmed and Semi-skimmed milk,Million Litres,8.6
Milk Sales (Dairy) for Human Consumption,1999M05,Skimmed and Semi-skimmed milk,Million Litres,8.9
Milk Sales (Dairy) for Human Consumption,1999M06,Skimmed and Semi-skimmed milk,Million Litres,8.8
Milk Sales (Dairy) for Human Consumption,1999M07,Skimmed and Semi-skimmed milk,Million Litres,8.9
Milk Sales (Dairy) for Human Consumption,1999M08,Skimmed and Semi-skimmed milk,Million Litres,8.9
Milk Sales (Dairy) for Human Consumption,1999M09,Skimmed and Semi-skimmed milk,Million Litres,8.6
Milk Sales (Dairy) for Human Consumption,1999M10,Skimmed and Semi-skimmed milk,Million Litres,8.8
Milk Sales (Dairy) for Human Consumption,1999M11,Skimmed and Semi-skimmed milk,Million Litres,8.7
Milk Sales (Dairy) for Human Consumption,1999M12,Skimmed and Semi-skimmed milk,Million Litres,8.8
Milk Sales (Dairy) for Human Consumption,2000M01,Skimmed and Semi-skimmed milk,Million Litres,7.5
Milk Sales (Dairy) for Human Consumption,2000M02,Skimmed and Semi-skimmed milk,Million Litres,8.5
Milk Sales (Dairy) for Human Consumption,2000M03,Skimmed and Semi-skimmed milk,Million Litres,9.3
Milk Sales (Dairy) for Human Consumption,2000M04,Skimmed and Semi-skimmed milk,Million Litres,9
